order_month,total_orders,total_revenue,revenue_growth_pct,orders_growth_pct
2017-01,750,111798.36,,
2017-02,1653,234223.4,109.5,120.4
2017-03,2546,359198.85,53.4,54.0
2017-04,2303,340669.68,-5.2,-9.5
2017-05,3546,489338.25,43.6,54.0
2017-06,3135,421923.37,-13.8,-11.6
2017-07,3872,481604.52,14.1,23.5
2017-08,4193,554699.7,15.2,8.3
2017-09,4150,607399.67,9.5,-1.0
2017-10,4478,648247.65,6.7,7.9
2017-11,7289,987765.37,52.4,62.8
2017-12,5513,726033.19,-26.5,-24.4
2018-01,7069,924645.0,27.4,28.2
2018-02,6555,826437.13,-10.6,-7.3
2018-03,7003,953356.25,15.4,6.8
2018-04,6798,973534.09,2.1,-2.9
2018-05,6749,977544.69,0.4,-0.7
2018-06,6099,856077.86,-12.4,-9.6
2018-07,6159,867953.46,1.4,1.0
2018-08,6351,838576.64,-3.4,3.1
