category,total_orders,total_revenue,pct_of_total
health_beauty,8647,1233131.72,9.3
watches_gifts,5495,1166176.98,8.8
bed_bath_table,9272,1023434.76,7.7
sports_leisure,7530,954852.55,7.2
computers_accessories,6530,888724.61,6.7
furniture_decor,6307,711927.69,5.4
housewares,5743,615628.69,4.7
cool_stuff,3559,610204.1,4.6
auto,3810,578966.65,4.4
toys,3804,471286.48,3.6
garden_tools,3448,470495.28,3.6
baby,2809,400421.84,3.0
perfumery,3086,390144.65,3.0
telephony,4093,309860.23,2.3
office_furniture,1254,268154.31,2.0
stationery,2264,223788.69,1.7
computers,177,218684.14,1.7
pet_shop,1688,211695.64,1.6
musical_instruments,611,184315.74,1.4
small_appliances,609,182754.12,1.4
unknown,1392,170726.63,1.3
electronics,2517,155043.93,1.2
fashion_bags_accessories,1820,149329.39,1.1
consoles_games,1018,148003.37,1.1
construction_tools_construction,736,142108.49,1.1
luggage_accessories,1019,138701.63,1.0
home_appliances_2,227,107953.95,0.8
home_construction,483,81407.57,0.6
home_appliances,747,78832.48,0.6
agro_industry_and_commerce,177,70566.1,0.5
furniture_living_room,414,67350.7,0.5
home_confort,392,58008.45,0.4
fixed_telephony,212,55315.21,0.4
air_conditioning,246,53323.56,0.4
audio,348,50570.6,0.4
small_appliances_home_oven_and_coffee,72,46589.56,0.4
kitchen_dining_laundry_garden_furniture,241,45531.98,0.3
books_general_interest,496,45302.15,0.3
construction_tools_lights,242,39957.0,0.3
construction_tools_safety,159,38773.22,0.3
industry_commerce_and_business,232,38498.81,0.3
food,441,28731.15,0.2
market_place,274,27795.77,0.2
costruction_tools_garden,190,25096.28,0.2
art,195,23657.3,0.2
fashion_shoes,235,23001.46,0.2
drinks,287,21529.84,0.2
signaling_and_security,138,21315.05,0.2
furniture_bedroom,90,19051.8,0.1
books_technical,256,18702.23,0.1
costruction_tools_tools,97,15903.95,0.1
food_drink,221,14942.88,0.1
fashion_male_clothing,106,10452.33,0.1
fashion_underwear_beach,117,9305.95,0.1
christmas_supplies,125,8737.84,0.1
tablets_printing_image,79,7528.41,0.1
cine_photo,63,6674.47,0.1
music,38,6034.35,0.0
dvds_blu_ray,56,4542.59,0.0
party_supplies,38,4465.19,0.0
books_imported,50,4418.86,0.0
furniture_mattress_and_upholstery,37,4323.38,0.0
portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,0.0
fashio_female_clothing,36,2634.94,0.0
fashion_sport,26,2094.52,0.0
la_cuisine,13,2054.99,0.0
arts_and_craftmanship,23,1814.01,0.0
diapers_and_hygiene,25,1500.79,0.0
pc_gamer,7,1306.95,0.0
flowers,29,1110.04,0.0
home_comfort_2,24,760.27,0.0
cds_dvds_musicals,12,730.0,0.0
fashion_childrens_clothes,7,519.95,0.0
security_and_services,2,283.29,0.0
