category,underperforming_products
bed_bath_table,1708
furniture_decor,1664
sports_leisure,1654
health_beauty,1403
housewares,1394
auto,1290
computers_accessories,874
toys,802
watches_gifts,754
fashion_bags_accessories,561
telephony,559
baby,503
perfumery,461
stationery,453
garden_tools,452
pet_shop,406
unknown,397
cool_stuff,385
construction_tools_construction,261
home_appliances,234
electronics,224
luggage_accessories,193
musical_instruments,178
consoles_games,162
office_furniture,152
home_construction,144
fashion_shoes,131
small_appliances,114
books_general_interest,114
furniture_living_room,81
books_technical,80
air_conditioning,79
fashion_male_clothing,78
fixed_telephony,76
signaling_and_security,67
food_drink,67
construction_tools_safety,61
construction_tools_lights,59
kitchen_dining_laundry_garden_furniture,51
home_confort,51
market_place,49
agro_industry_and_commerce,49
christmas_supplies,45
drinks,44
costruction_tools_garden,42
home_appliances_2,39
food,39
dvds_blu_ray,38
industry_commerce_and_business,37
art,37
fashion_underwear_beach,32
audio,31
furniture_bedroom,29
costruction_tools_tools,27
books_imported,21
music,20
fashio_female_clothing,20
party_supplies,19
small_appliances_home_oven_and_coffee,18
cine_photo,18
arts_and_craftmanship,17
fashion_sport,13
computers,10
flowers,8
portateis_cozinha_e_preparadores_de_alimentos,7
la_cuisine,7
furniture_mattress_and_upholstery,6
diapers_and_hygiene,6
home_comfort_2,4
tablets_printing_image,2
security_and_services,2
fashion_childrens_clothes,2
